Country Name,Country Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,5.87933150704426,5.75115485571701,5.60598037111772,5.4843272109591,5.4107987553733,5.34869927576391,5.31618822652839,5.33469875385879,5.43442423159339,5.63211896768133,6.07527320385547,6.62213530373529,7.23176300017722,7.8335287957031,8.38146821543706,8.78180530966747,9.08703838288667,9.34635748147047,9.64104496504071,10.0157643151807,10.4303391334476,10.9162953719506,11.3960486849936,11.7471140259671,11.8999996310296,11.9049510412543,11.7319064399114,11.4538085814574,11.1829193806845,10.9938453122507,10.864866029929,10.811258725887,10.8129244047118,10.8393429631621,10.8773965127277,10.9787227665683,11.0966448892298,11.2538176570131,11.4836677169087,11.8028794803531
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,5.71197411003236,5.94214862655595,6.16310874455792,6.36390120739326,6.56944938982941,6.84166207856981,7.12283487531798,7.41610140680902,7.69255579925171,7.96123336745138,7.86213644325911,7.74301623985978,7.59992094501118,7.45044937801321,7.28848114169215,7.18652473173443,7.05678902153297,6.91166830547362,6.75067627286606,6.57887813091981,6.61037144485313,6.66581518615493,6.74274905422446,6.8487353116909,6.98091204811883,7.01054362545947,7.05376907147788,7.12554305186365,7.22454061282365,7.35788612714136,7.47537897885785,7.61871052660686,7.78443113772455,7.96115036408029,8.15680909732168,8.3605742274694,8.57523106910066,8.79982551980558,9.05496406433411,9.3322713394398
Australia,AUS,9.78212241620443,9.89437690451529,9.98633663013164,10.0954369550324,10.2405165381814,10.3784672687518,10.5450613872389,10.7255206049262,10.8991994669854,11.0587498777313,11.2564488016922,11.4351696193343,11.5938035147577,11.7335483173918,11.8570567764019,11.9658027089257,12.0593310112125,12.1434629034959,12.2279819882558,12.3236737663423,12.4153046220326,12.5159215576963,12.6268907427709,12.7455821780354,12.8711244718399,12.9265995927274,12.9819293467348,13.0587388634746,13.1856542072768,13.3765558056607,13.6303082070145,13.9302883502879,14.2526570621872,14.5653171853498,14.8546106880091,15.1411186020755,15.4040208878559,15.6564752275591,15.9212017459054,16.2130580672445
Austria,AUT,15.0686704066388,14.8126570519697,14.504948111968,14.2579758660538,14.1362529199456,14.186377016896,14.352539325325,14.5800538985016,14.7856938047286,14.9214734587191,15.0803433709852,15.1732622409105,15.2109974473162,15.2131144405539,15.1898575753734,15.2452717139218,15.2779029577949,15.3033745592926,15.3368732993811,15.3899061080573,15.5200556994364,15.6503383403742,15.7943539095375,15.9729846333216,16.1973187620023,16.4899751283683,16.8229160965761,17.1735120119422,17.5052310119254,17.798383795193,18.0531001297569,18.2744944353991,18.4729790330719,18.6596177413585,18.8404776774295,18.9091469471555,18.9565733220815,19.0015664595899,19.0756062856682,19.2040036427437
Azerbaijan,AZE,5.02613566865099,4.93908783815176,4.83364328558793,4.7317448309064,4.64601308613119,4.60069772272367,4.56046277871772,4.54085269571715,4.56394599545018,4.64122728887506,4.7513246899815,4.89575244722713,5.051561947275,5.19388555629652,5.31327937871941,5.44636386515373,5.55038389193188,5.6406928492892,5.73822659342553,5.84989722065495,6.06213169266263,6.27835169995727,6.46469331273718,6.5743940131704,6.58588844430677,6.53458238134094,6.41116942753658,6.24370811051122,6.06580529667693,5.89828176396222,5.81864201546531,5.74648353123882,5.69666850923151,5.68911745070444,5.7365232062161,5.83552270670949,5.98968850174499,6.19518275071493,6.4463891203953,6.74162212574058
Burundi,BDI,3.11921659807056,3.09302595323358,3.0571426602095,3.01103437858883,2.95606858328332,2.92704158986875,2.89102865288361,2.8498279450647,2.80444818034211,2.75563862703824,2.7300093478332,2.69443758008219,2.6498895405061,2.59821762013586,2.54105407293717,2.55521722291885,2.56188614093461,2.55764957169615,2.5377190558221,2.49827908418276,2.47350987542037,2.43692193135766,2.39053869692295,2.33647185878585,2.27622730744989,2.25768150761142,2.23835169075785,2.21681933108888,2.19085822397361,2.16086445643772,2.13777986842749,2.11112106137278,2.08911866524826,2.08236259382207,2.09585011067881,2.13529850080974,2.18676073257099,2.24694046033717,2.31209531524,2.38013742407565
Belgium,BEL,14.3742500449366,14.1894031683476,13.9632830464706,13.8005935776078,13.7596255482486,13.909766408804,14.1619399717711,14.4689939371545,14.758938118927,14.9914995626862,15.2508729317208,15.4550147889965,15.6199122533249,15.7724968070344,15.9289752270328,16.1447257249633,16.3524403721556,16.5479683654839,16.7210360442938,16.8664893411643,17.0084288051025,17.1213187604108,17.2065216807089,17.2626889566214,17.291056336439,17.3149802603236,17.2950927556272,17.2624990745687,17.2651506361914,17.334027258535,17.4337627349848,17.5930177446682,17.7871651349752,17.9771720232834,18.1423094027785,18.37185871229,18.5840790882601,18.7887437383395,19.0065660669321,19.2542328598609
Benin,BEN,4.31323243619062,4.2570818547379,4.19255292579189,4.11985703491059,4.03973260728465,3.99302441635907,3.93999201369358,3.8814625415057,3.8178918908153,3.75020889843037,3.69700042664345,3.64122605430096,3.58488765272975,3.53007059581185,3.4783842610639,3.43285377270641,3.38714147692983,3.34208877070723,3.29857093938294,3.25730550654964,3.23321510080994,3.20770886397637,3.18407351585089,3.16625643031926,3.1560498482566,3.17398404774941,3.19430647208039,3.2132866332809,3.22573973348264,3.22989058140444,3.23677698079587,3.236231285683,3.23199619054892,3.22829820302514,3.22771888525969,3.23552208996581,3.2439514718218,3.25360529746338,3.26488492520772,3.27846608156262
Burkina Faso,BFA,3.22472212519112,3.26448275452607,3.29546561357217,3.31675705016517,3.32831386299033,3.3390646518451,3.33993319224533,3.33104165058599,3.31195643546493,3.28290641030326,3.25588138187447,3.21771930705801,3.17029846502624,3.11466672534286,3.05209835044586,3.00602203177655,2.95211328140163,2.89258805308621,2.82962386400207,2.76487425591892,2.73048369106441,2.69229893192116,2.65137928666532,2.60902651296348,2.56583069647957,2.55246588806159,2.53639817117867,2.51729695416354,2.4943963773301,2.46791185281179,2.46120595230182,2.45091907051326,2.43796193766863,2.42328143418384,2.40787396392306,2.40973075866777,2.40863004119056,2.40698082866355,2.40728753729201,2.41102912448209
Bangladesh,BGD,3.09785615962525,3.09632686897116,3.08412706179453,3.06174001123614,3.03091914571632,3.06110889020292,3.08665423038706,3.10808681654833,3.12633344468224,3.14289476105309,3.19574043448295,3.24515262043614,3.29184591309888,3.33612497606501,3.3790130809318,3.47587791210963,3.56968614095387,3.66255942203478,3.75684568367396,3.85410520844256,3.94900934594612,4.03892761554541,4.12605969230887,4.21367424184024,4.30386756246183,4.41405087143509,4.51926469056832,4.61617993332098,4.70092139309264,4.77182482205879,4.86590089058153,4.95111646054724,5.02287429670233,5.07423559635511,5.1033559765625,5.13561350228916,5.14947500781286,5.15839063962068,5.18035134847486,5.22700361322017
Bulgaria,BGR,11.7954510081533,11.6323041389668,11.4352749169815,11.3130046804982,11.3282017291561,11.5836956513259,11.9395827669622,12.3542869227916,12.7673561116816,13.1460331542603,13.5794471973819,13.9834403230749,14.3671821416836,14.7402082355437,15.1063190420975,15.4857169044268,15.8392408790555,16.1535181446286,16.4093012047356,16.5946628620284,16.8550001178962,17.0429731412941,17.1747362227446,17.2720149905121,17.3507687432304,17.4807089806699,17.5905067554726,17.7039021478619,17.8583351631288,18.0786741239875,18.4120672480738,18.8141864681539,19.2492875257473,19.661890741005,20.0188312329569,20.4293428662073,20.7576011862959,21.021914434268,21.252967270985,21.4679255574449
