Country Name,Country Code,2018,2019,2020
Slovak Republic,SVK,5446771,5454147,5458827
Slovenia,SVN,2073894,2088385,2100126
Sweden,SWE,10175214,10278887,10353442
Eswatini,SWZ,1136274,1148133,1160164
Sint Maarten (Dutch part),SXM,40654,40733,40812
Seychelles,SYC,96762,97625,98462
Syrian Arab Republic,SYR,16945062,17070132,17500657
Turks and Caicos Islands,TCA,37667,38194,38718
Chad,TCD,15477727,15946882,16425859
East Asia & Pacific (IDA & IBRD countries),TEA,2056073849,2067982370,2079198305
Europe & Central Asia (IDA & IBRD countries),TEC,458994120,460791608,462247461
Togo,TGO,7889095,8082359,8278737
Thailand,THA,69428454,69625581,69799978
Tajikistan,TJK,9100847,9321023,9537642
Turkmenistan,TKM,5850902,5942094,6031187
Latin America & the Caribbean (IDA & IBRD countries),TLA,624698076,630644771,636492840
Timor-Leste,TLS,1267975,1293120,1318442
Middle East & North Africa (IDA & IBRD countries),TMN,378386080,384771769,391344574
Tonga,TON,103199,104497,105697
South Asia (IDA & IBRD),TSA,1814455018,1835776769,1856882402
Sub-Saharan Africa (IDA & IBRD countries),TSS,1078319512,1106957870,1136046775
Trinidad and Tobago,TTO,1389841,1394969,1399491
Tunisia,TUN,11565203,11694721,11818618
Turkey,TUR,82340090,83429607,84339067
Tuvalu,TUV,11505,11655,11792
Tanzania,TZA,56313444,58005461,59734213
Uganda,UGA,42729032,44269587,45741000
Ukraine,UKR,44622518,44386203,44134693
Upper middle income,UMC,2486467779,2500746096,2513672792
Uruguay,URY,3449290,3461731,3473727
United States,USA,326838199,328329953,329484123
Uzbekistan,UZB,32956100,33580350,34232050
St. Vincent and the Grenadines,VCT,110210,110593,110947
"Venezuela, RB",VEN,28887117,28515829,28435943
British Virgin Islands,VGB,29795,30033,30237
Virgin Islands (U.S.),VIR,107001,106669,106290
Vietnam,VNM,95545959,96462108,97338583
Vanuatu,VUT,292675,299882,307150
World,WLD,7592475615,7673345391,7752840547
Samoa,WSM,196128,197093,198410
Kosovo,XKX,1797085,1788878,1775378
"Yemen, Rep.",YEM,28498683,29161922,29825968
South Africa,ZAF,57792520,58558267,59308690
Zambia,ZMB,17351714,17861034,18383956
Zimbabwe,ZWE,14438812,14645473,14862927
